Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,18.490478688772175,18.718480382880628,18.386391205476684,18.542522430419922,7906000,0.0,0.0
2010-01-05 00:00:00-05:00,18.45082269857666,18.587129068054608,18.041907371703893,18.463214874267578,7942400,0.0,0.0
2010-01-06 00:00:00-05:00,18.525170037931538,18.587127128359406,18.33434303135707,18.43099594116211,5122400,0.0,0.0
2010-01-07 00:00:00-05:00,18.46817304405777,18.574739340390565,18.225302251063543,18.34921646118164,4840000,0.0,0.0
2010-01-08 00:00:00-05:00,18.356649562000836,18.426041211663552,18.155909162507886,18.376476287841797,5510400,0.0,0.0
2010-01-11 00:00:00-05:00,18.487995854901666,18.512778313519124,18.039427114350392,18.252559661865234,6399200,0.0,0.0
2010-01-12 00:00:00-05:00,17.45703341300995,17.46942369876298,16.916767415724077,16.92420196533203,21053200,0.0,0.0
2010-01-13 00:00:00-05:00,16.92172332806003,17.04811634505329,16.59706871992786,16.976245880126953,20649600,0.0,0.0
2010-01-14 00:00:00-05:00,16.97376630288428,17.28107487511003,16.97376630288428,17.147247314453125,10400400,0.0,0.0
2010-01-15 00:00:00-05:00,17.112550354882405,17.236464544589648,16.877112259970357,17.008460998535156,8564800,0.0,0.0
2010-01-19 00:00:00-05:00,16.998550545940137,17.315772514142058,16.88950732606463,17.224075317382812,6252800,0.0,0.0
2010-01-20 00:00:00-05:00,17.050595025463053,17.14229032524112,16.728417342553456,16.988637924194336,7260000,0.0,0.0
2010-01-21 00:00:00-05:00,17.005983155203516,17.229027171974,16.50784761013665,16.57476043701172,8946000,0.0,0.0
2010-01-22 00:00:00-05:00,16.53759019908676,16.58963393693308,15.950236202054313,15.994845390319824,8788800,0.0,0.0
2010-01-25 00:00:00-05:00,16.227802150509323,16.260019157235437,15.729666608104905,15.893232345581055,9866800,0.0,0.0
2010-01-26 00:00:00-05:00,15.900669471578247,16.401281957890575,15.699927201794502,16.2104549407959,10367200,0.0,0.0
2010-01-27 00:00:00-05:00,16.210456108272666,16.272413206578346,15.957670088348364,16.207977294921875,5947600,0.0,0.0
2010-01-28 00:00:00-05:00,16.165847316845223,16.183195229163456,15.722233309853669,15.900671005249023,5684400,0.0,0.0
2010-01-29 00:00:00-05:00,16.061756946505223,16.148498393446012,15.662754042777717,15.749493598937988,6281200,0.0,0.0
2010-02-01 00:00:00-05:00,15.865971999546346,16.178236286660557,15.77427670937014,16.153453826904297,5632000,0.0,0.0
2010-02-02 00:00:00-05:00,16.170804359086272,16.250109377629872,15.88332248512774,16.123716354370117,4664400,0.0,0.0
2010-02-03 00:00:00-05:00,16.059279661130205,16.413674317531328,15.960147931709802,16.26249885559082,4725600,0.0,0.0
2010-02-04 00:00:00-05:00,16.069193125048468,16.13115022727172,15.323230975642597,15.471927642822266,11797200,0.0,0.0
2010-02-05 00:00:00-05:00,15.486796752744107,15.489274620711692,14.944051964984581,15.385187149047852,12440800,0.0,0.0
2010-02-08 00:00:00-05:00,15.387665090563997,15.623102255002195,15.174532519501845,15.395099639892578,5062400,0.0,0.0
2010-02-09 00:00:00-05:00,15.533882796528491,16.084062097783296,15.533882796528491,16.02458381652832,9099200,0.0,0.0
2010-02-10 00:00:00-05:00,16.05432334514348,16.08406343363124,15.868452046351393,16.041933059692383,6855200,0.0,0.0
2010-02-11 00:00:00-05:00,16.05184341748134,16.383934431476593,15.816407211666728,16.346759796142578,6448800,0.0,0.0
2010-02-12 00:00:00-05:00,16.215411929336256,16.27241329202024,15.90810524954507,16.131149291992188,8150000,0.0,0.0
2010-02-16 00:00:00-05:00,16.225323004895706,16.46819373845712,16.185669559786714,16.40623664855957,5511200,0.0,0.0
2010-02-17 00:00:00-05:00,16.413675678750074,16.683807725773278,16.413675678750074,16.54998016357422,6672400,0.0,0.0
2010-02-18 00:00:00-05:00,16.768069171543452,17.08528919680279,16.71106781195131,16.963851928710938,8361600,0.0,0.0
2010-02-19 00:00:00-05:00,16.882070229278085,17.221593905872297,16.85728587820887,17.080331802368164,7196800,0.0,0.0
2010-02-22 00:00:00-05:00,17.176984011343887,17.231506556194635,17.025808551814244,17.110071182250977,5123600,0.0,0.0
2010-02-23 00:00:00-05:00,17.033247201748004,17.196812966746194,16.827549170673606,16.91180992126465,5597200,0.0,0.0
